2014-07-08 08:54:25,043 | INFO  | Listening for connections at ws://NDW1298:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2014-07-08 08:54:25,044 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2014-07-08 08:54:25,048 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:NDW1298-62986-1404806064677-0:1) started | org.apache.activemq.broker.BrokerService | main
2014-07-08 08:54:25,051 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2014-07-08 08:54:25,545 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2014-07-08 08:54:25,625 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2014-07-08 08:54:26,059 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2014-07-08 09:03:03,455 | WARN  | Transport Connection to: tcp://127.0.0.1:62991 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:62991@61616
2014-07-08 09:03:03,955 | WARN  | Transport Connection to: tcp://127.0.0.1:63006 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63006@61616
2014-07-08 09:03:26,750 | WARN  | Transport Connection to: tcp://127.0.0.1:63008 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63008@61616
2014-07-08 09:13:01,223 | WARN  | Transport Connection to: tcp://127.0.0.1:63013 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63013@61616
2014-07-08 09:15:40,998 | WARN  | Transport Connection to: tcp://127.0.0.1:63019 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63019@61616
2014-07-08 09:23:36,415 | WARN  | Transport Connection to: tcp://127.0.0.1:63033 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63033@61616
